Destination,Category,Accomodation,Activities ,Duration,State,With Food
Kulu Manali,Hill Station,1400,"paragliding,Trek,River rafting",3,Himachal Pradesh,1600
Goa,General,1600,"Scuba diving,Boat riding",3,Goa,2000
Ooty,Hill Station,1800,"Botaniqual graden,T-estates",4,Tamil Nadu,2000
Kodaikanal,Hill Station,1500,"Boating,Coakers walk",2,Tamil Nadu,1800
Dandeli,General,1800,"River rafting,Jungle stay",2,Karnataka,2100
Coorg,Hill Station,1800,"Golden temple,Abbey Falls",2,Karnataka,2100
Agra,General,2500,"TajMahal,Jamma Masjid",3,Uttar Pradesh,2800
Varanasi,Pilgrim,1000,"Kashi mandir,Ganga RiverBath",2,Uttar Pradesh,1200
Tirupathi,Pilgrim,1000,"Balaji Temple,AkashaGanga ",2,Telangana,1300
Thiruvanthapuram,Pilgrim,1200,"Skydiving,Mystic Theme park",2,Kerala,1500
Kukke,Pilgrim,1900,Subhramanya swami Temple,2,Karnataka,2100
Gokarna,Pilgrim,2000,"Beach,Mahabhaleshwar Temple",2,Karnataka,2200
Murudeshwar,Pilgrim,2100,"Temple,Scuba diving",2,Karnataka,2400
Dharmsthala,Pilgrim,2500,"Temple,Kangra valley",1,Karnataka,2800
Hampi,Historical,1500,"Temple,Historical Monuments",3,Karnataka,1800
Pattadakal,Historical,1200,"Temple,Historical Monuments",3,Karnataka,1500
Badami,Historical,1700,"Temple,Historical Monuments",2,Karnataka,2000
Ihole,Historical,1300,"Temple,Historical Monuments",2,Karnataka,1600
Sakaleshpura,Hill Station,2000,"Trek,View points",2,Karnataka,2400
KudreMukh,Hill Station,1800,"Trek,View points",2,Karnataka,2100
Yana Caves,Hill Station,1500,Trek,1,Karnataka,1800
Beluru Helebudu,Historical,1000,"Temple,Historical Monuments",1,Karnataka,1400
Nandi Hills,Hill Station,1400,"Trek,View points",1,Karnataka,1700
Devarayana Durga,Hill Station,700,Viewpoints,1,Karnataka,1000
Mysuru,General,2500,"Temple,hills,Dams,Palace,Zoo",3,Karnataka,2800
M M Hills,Pilgrim,1500,Male Mahadeshwara Temple,2,Karnataka,1900
Kochi,General,2000,"Haritha Bio park,SpeedWay Kochi",2,Kerala,2400
Manthralayam,Pilgrim,1000,"Temple,View of TungaBadra River",1,Andhra Pradesh,1350
Ballari,General,1200,"Dam,Forts,Mine Sites",2,Karnataka,1345
Vijayapura,Historical,1500,"Forts,Mosque,Historical Monuments",3,Karnataka,1890
Jogfalls,General,1300,"River rafting,Hydropower Station",2,Karnataka,1600
Nasik,General,1500,"Nasik Caves,Trimbakeshwar Jothirlinga",3,Maharastra,1870
Shirdi,Pilgrim,2000,"Temple,Sai threeth theme Park",2,Maharastra,2350
Mumbai,General,3000,"Port,Skyscapers,TajHotel,Gateway of India",2,Maharastra,3400
Mahabaleshwar,Hill Station,2000,"Trek,View points",2,Maharastra,2300
Pondichery,General,2500,"Beach,Churches,tree-lined boulevards",2,Tamil Nadu,2780
Rameshwaram,Pilgrim,2000,"Ramanathaswamy Temple,Pamban bridge",2,Tamil Nadu,2300
Golkonda,Historical,1700,"Forts,Mosque,Historical Monuments",2,Telangana,1950
Hyderabad,General,2500,"Charminar,Museum,Palace",2,Telangana,2700
Ladakh,Hill Station,2300,"Trek,View points",6,Himachal Pradesh,2550
Kedarnath,Pilgrim,2000,"Trek,View points,Temple",5,Uttarakhand,2350
Konark,Historical,1600,"Sun Temple,Historical Monuments",3,Odisha,1950
Puri,Pilgrim,1700,"Temple,Beach",3,Odisha,2000
Jaipur,Historical,2000,"Forts,Palace,Mahals,Jantar Manthar,Temple",5,Rajasthan,2350
Amritsar,Pilgrim,2400,"Golden temple,Jalian Walabagh,Partion Museum",3,Punjab,2650
Gwalior,Historical,1500,"Fort,temple,zoo,mahals",2,Madhya Pradesh,1800
Indore,General,2000,"Palace,Museum,Wildlife Scanturay",2,Madhya Pradesh,2350
Bhopal,General,1400,"National Park,Bhawan,Masjidh",3,Madhya Pradesh,1750
Srinagar,Hill Station,1600,"Boating,Coakers walk,Gardens,Temple",4,Jammu Kashmir,1890
